event_date,country,platform,dau,total_iap_revenue,total_ad_revenue,arpdau,matches_started,match_per_dau,win_ratio,defeat_ratio,server_error_per_dau
2024-02-23,Costa Rica,ios,18,11.97,0.15,0.67,123,6.83,0.6321,0.3679,0.17
2024-02-23,Guatemala,ios,51,34.98,0.23,0.69,186,3.65,0.7059,0.2941,0.04
2024-02-23,United Arab Emirates,ios,801,664.96,19.28,0.85,3948,4.93,0.5952,0.4048,0.03
2024-02-23,South Korea,ios,402,426.79,38.27,1.16,2625,6.53,0.6264,0.3736,0.07
2024-02-23,Singapore,ios,372,523.85,13.76,1.45,3726,10.02,0.6922,0.3078,0.05
2024-02-23,Bahrain,ios,61,99.99,1.07,1.66,199,3.26,0.5528,0.4472,0.1
2024-02-23,Nicaragua,ios,4,10.69,0.01,2.68,33,8.25,0.6552,0.3448,0.0
2024-02-23,Malta,ios,24,67.09,0.68,2.82,102,4.25,0.6071,0.3929,0.0
2024-02-23,Gabon,ios,6,19.99,0.08,3.34,71,11.83,0.6,0.4,0.0
2024-02-23,Réunion,ios,11,49.81,0.16,4.54,81,7.36,0.6389,0.3611,0.09
